이름,나이,성별,점수,시험일,비고,재응시여부,정제된_점수,score_quality,정제된_나이,age_quality,is_name_missing,is_score_mising,is_date_missing,is_age_missing,is_gender_invalid,is_retake_with_missing_info,이상조건_충족수,is_suspicious
강보람,,,60점,1997년 11월 11일,.,N,60.0,A,,C,False,False,True,True,True,False,3,Y
김영미,seventeen,,93점,2009-02-14,,N,93.0,A,17.0,B,False,False,True,False,True,False,2,Y
윤윤서,18,여,64,13-04-2016,retake,Y,64.0,A,18.0,A,False,False,True,False,True,True,3,Y
홍지영,21세,m,52,,Retook,Y,52.0,A,21.0,A,False,False,True,False,False,True,2,Y
김성수,0x13,F,eighty,1978-10-13,.,N,,C,19.0,B,False,True,True,False,False,False,2,Y
김진우,-,남,none,1990/09/12,Retook,Y,,C,,C,False,True,True,True,True,True,5,Y
이은지,-,male,none,24-04-2005,note: 재응시,Y,,C,,C,False,True,True,True,True,True,5,Y
허영길,-,M,70점,,,N,70.0,A,,C,False,False,True,True,False,False,2,Y
,seventeen,f,,,Retook,Y,,C,17.0,B,True,True,True,False,False,True,4,Y
,?,female,ninety-five,2010/04/10,Retook,Y,,C,,C,True,True,True,True,True,True,6,Y
,twenty,,52점,2019/01/15,note: 재응시,Y,52.0,A,20.0,B,True,False,True,False,True,True,4,Y
김명숙,19세,f,0b1100011,Jun/20/2022,,N,99.0,B,19.0,A,False,False,True,False,False,False,1,N
강주원,seventeen,female,,11.03.2022,,N,,C,17.0,B,False,True,False,False,True,False,2,Y
김성훈,seventeen,m,0b111110,2007년 02월 16일,note: 재응시,Y,62.0,B,17.0,B,False,False,True,False,False,True,2,Y
박현지,-,female,ninety-five,2013/09/06,note: 재응시,Y,,C,,C,False,True,True,True,True,True,5,Y
김정희,-,f,,2024-12-09,,N,,C,,C,False,True,True,True,False,False,3,Y
박수민,14세,,,,note: 재응시,Y,,C,14.0,A,False,True,True,False,True,True,4,Y
,,남,eighty,,re-take,Y,,C,,C,True,True,True,True,True,True,6,Y
,11세,male,ninety-five,Feb/18/1997,,N,,C,11.0,A,True,True,True,False,True,False,4,Y
박병철,,female,84,2021-10-06,,N,84.0,A,,C,False,False,True,True,True,False,3,Y
,,,none,04-05-1978,,N,,C,,C,True,True,True,True,True,False,5,Y
,?,여,96점,,Retook,Y,96.0,A,,C,True,False,True,True,True,True,5,Y
박지영,,m,none,,없음,N,,C,,C,False,True,True,True,False,False,3,Y
,?,female,0b111011,2019-01-27,,N,59.0,B,,C,True,False,True,True,True,False,4,Y
남중수,0x17,남,,30.12.1990,,N,,C,23.0,B,False,True,False,False,True,False,2,Y
이명숙,twenty,f,,May/20/1986,Retook,Y,,C,20.0,B,False,True,True,False,False,True,3,Y
하미경,twenty,female,55점,10.06.1973,re-take,Y,55.0,A,20.0,B,False,False,False,False,True,False,1,N
김정훈,-,male,none,2010-08-30,re-take,Y,,C,,C,False,True,True,True,True,True,5,Y
김예은,20,m,54,11.02.1979,,N,54.0,A,20.0,A,False,False,False,False,False,False,0,N
,16,,ninety-five,10-06-1997,,N,,C,16.0,A,True,True,True,False,True,False,4,Y
김영철,,여,none,1973-06-25,,N,,C,,C,False,True,True,True,True,False,4,Y
김숙자,,female,,2022년 01월 07일,없음,N,,C,,C,False,True,True,True,True,False,4,Y
윤영희,0x17,f,67점,20.04.2016,re-take,Y,67.0,A,23.0,B,False,False,False,False,False,False,0,N
김서윤,-,male,58점,1978-10-03,,N,58.0,A,,C,False,False,True,True,True,False,3,Y
최상현,?,f,,17-05-2021,,N,,C,,C,False,True,True,True,False,False,3,Y
김재현,14,female,70점,1997/04/25,없음,N,70.0,A,14.0,A,False,False,True,False,True,False,2,Y
,?,F,ninety-five,Mar/28/2002,없음,N,,C,,C,True,True,True,True,False,False,4,Y
김정남,-,,0b1001111,,,N,79.0,B,,C,False,False,True,True,True,False,3,Y
김진우,,여,0b111100,2020년 04월 23일,없음,N,60.0,B,,C,False,False,True,True,True,False,3,Y
박지우,-,,95,,없음,N,95.0,A,,C,False,False,True,True,True,False,3,Y
,18,,70점,,,N,70.0,A,18.0,A,True,False,True,False,True,False,3,Y
이영수,21세,남,none,17.06.1977,,N,,C,21.0,A,False,True,False,False,True,False,2,Y
,seventeen,,0b1011101,1990-12-09,없음,N,93.0,B,17.0,B,True,False,True,False,True,False,3,Y
이성현,twenty,M,none,2002/04/19,note: 재응시,Y,,C,20.0,B,False,True,True,False,False,True,3,Y
김서연,?,m,,2009/04/23,,N,,C,,C,False,True,True,True,False,False,3,Y
이서준,21세,여,56점,Jan/29/2019,note: 재응시,Y,56.0,A,21.0,A,False,False,True,False,True,True,3,Y
유시우,15,m,100,1972년 02월 24일,,N,100.0,A,15.0,A,False,False,True,False,False,False,1,N
최명숙,seventeen,male,eighty,2000년 01월 06일,,N,,C,17.0,B,False,True,True,False,True,False,3,Y
전현주,0x13,F,75점,Dec/27/2016,.,N,75.0,A,19.0,B,False,False,True,False,False,False,1,N
홍민지,,f,87점,12.08.2011,없음,N,87.0,A,,C,False,False,False,True,False,False,1,N
,,m,,26.05.1979,,N,,C,,C,True,True,False,True,False,False,3,Y
,?,남,55점,,,N,55.0,A,,C,True,False,True,True,True,False,4,Y
안영길,?,male,eighty,,,N,,C,,C,False,True,True,True,True,False,4,Y
,,여,none,1994-02-09,retake,Y,,C,,C,True,True,True,True,True,True,6,Y
오민지,-,male,none,Dec/13/2002,retake,Y,,C,,C,False,True,True,True,True,True,5,Y
주영환,20세,남,eighty,24-12-2007,.,N,,C,20.0,A,False,True,True,False,True,False,3,Y
신명숙,?,f,eighty,,retake,Y,,C,,C,False,True,True,True,False,True,4,Y
,?,f,ninety-five,1991/07/30,,N,,C,,C,True,True,True,True,False,False,4,Y
성도현,seventeen,F,none,1988/08/10,re-take,Y,,C,17.0,B,False,True,True,False,False,True,3,Y
최정남,0x1a,m,80점,Aug/10/2022,.,N,80.0,A,26.0,B,False,False,True,False,False,False,1,N
,10세,,none,1975년 05월 19일,retake,Y,,C,10.0,A,True,True,True,False,True,True,5,Y
최우진,,m,ninety-five,2000/02/08,.,N,,C,,C,False,True,True,True,False,False,3,Y
,?,,90,Mar/31/2008,note: 재응시,Y,90.0,A,,C,True,False,True,True,True,True,5,Y
김정희,seventeen,f,,Jun/01/2020,note: 재응시,Y,,C,17.0,B,False,True,True,False,False,True,3,Y
이정남,,,,,없음,N,,C,,C,False,True,True,True,True,False,4,Y
,,,,,retake,Y,,C,,C,True,True,True,True,True,True,6,Y
박현준,0x1e,f,74,,.,N,74.0,A,30.0,B,False,False,True,False,False,False,1,N
,18세,,70,09.09.1997,,N,70.0,A,18.0,A,True,False,False,False,True,False,2,Y
심중수,,M,,1991년 11월 09일,,N,,C,,C,False,True,True,True,False,False,3,Y
이민지,?,female,ninety-five,,,N,,C,,C,False,True,True,True,True,False,4,Y
한은영,seventeen,,ninety-five,,re-take,Y,,C,17.0,B,False,True,True,False,True,True,4,Y
윤경숙,twenty,,67,1981-11-30,Retook,Y,67.0,A,20.0,B,False,False,True,False,True,True,3,Y
,0x14,F,none,,retake,Y,,C,20.0,B,True,True,True,False,False,True,4,Y
,twenty,F,ninety-five,2008/08/25,,N,,C,20.0,B,True,True,True,False,False,False,3,Y
최서준,0x10,여,,Aug/12/2003,없음,N,,C,16.0,B,False,True,True,False,True,False,3,Y
오서영,,female,,2001/11/06,re-take,Y,,C,,C,False,True,True,True,True,True,5,Y
이예지,?,남,ninety-five,,re-take,Y,,C,,C,False,True,True,True,True,True,5,Y
홍미경,?,,eighty,16.02.2020,.,N,,C,,C,False,True,False,True,True,False,3,Y
이건우,twenty,M,81,14.07.2021,없음,N,81.0,A,20.0,B,False,False,False,False,False,False,0,N
,12세,,64,1992년 04월 25일,note: 재응시,Y,64.0,A,12.0,A,True,False,True,False,True,True,4,Y
최영자,?,f,,,note: 재응시,Y,,C,,C,False,True,True,True,False,True,4,Y
,0x1d,female,,1996년 02월 07일,.,N,,C,29.0,B,True,True,True,False,True,False,4,Y
,seventeen,f,95,1986-01-10,.,N,95.0,A,17.0,B,True,False,True,False,False,False,2,Y
,seventeen,F,eighty,Oct/19/1987,Retook,Y,,C,17.0,B,True,True,True,False,False,True,4,Y
배주원,15,M,,25.03.1974,,N,,C,15.0,A,False,True,False,False,False,False,1,N
배서영,0x1f,F,none,Sep/08/2016,note: 재응시,Y,,C,31.0,B,False,True,True,False,False,True,3,Y
,0x19,male,0b1000111,2022/05/22,Retook,Y,71.0,B,25.0,B,True,False,True,False,True,True,4,Y
이은정,0x17,여,none,,없음,N,,C,23.0,B,False,True,True,False,True,False,3,Y
남준호,,,,1995년 06월 05일,,N,,C,,C,False,True,True,True,True,False,4,Y
,twenty,,,2017/10/07,re-take,Y,,C,20.0,B,True,True,True,False,True,True,5,Y
서성진,0x15,,eighty,11-11-1984,,N,,C,21.0,B,False,True,True,False,True,False,3,Y
송채원,?,,0b1100000,,Retook,Y,96.0,B,,C,False,False,True,True,True,True,4,Y
이지우,,,58,1977년 08월 20일,.,N,58.0,A,,C,False,False,True,True,True,False,3,Y
문준호,25,여,94,2006년 07월 09일,retake,Y,94.0,A,25.0,A,False,False,True,False,True,True,3,Y
류영길,23,m,ninety-five,30.05.2005,,N,,C,23.0,A,False,True,False,False,False,False,1,N
,0x10,female,,Apr/07/2003,Retook,Y,,C,16.0,B,True,True,True,False,True,True,5,Y
,,f,71점,12-01-2025,retake,Y,71.0,A,,C,True,False,True,True,False,True,4,Y
주수빈,-,m,eighty,17.05.2008,없음,N,,C,,C,False,True,False,True,False,False,2,Y
이현지,,,,,없음,N,,C,,C,False,True,True,True,True,False,4,Y
,20세,,ninety-five,02.10.2020,,N,,C,20.0,A,True,True,False,False,True,False,3,Y
김현주,?,남,,12.06.1993,,N,,C,,C,False,True,False,True,True,False,3,Y
,?,female,66,15.02.2002,Retook,Y,66.0,A,,C,True,False,False,True,True,False,3,Y
,,M,none,Feb/11/2022,note: 재응시,Y,,C,,C,True,True,True,True,False,True,5,Y
,,m,none,26.06.1995,retake,Y,,C,,C,True,True,False,True,False,True,4,Y
오건우,seventeen,F,84점,17.06.2016,,N,84.0,A,17.0,B,False,False,False,False,False,False,0,N
박정희,21,male,ninety-five,27.01.1978,retake,Y,,C,21.0,A,False,True,False,False,True,True,3,Y
,0x14,f,60,14.07.2019,.,N,60.0,A,20.0,B,True,False,False,False,False,False,1,N
장성진,24,F,0b1000110,2018년 12월 08일,,N,70.0,B,24.0,A,False,False,True,False,False,False,1,N
,,F,eighty,14-03-2006,retake,Y,,C,,C,True,True,True,True,False,True,5,Y
이승민,seventeen,남,60점,1993/07/22,없음,N,60.0,A,17.0,B,False,False,True,False,True,False,2,Y
이민수,twenty,female,,1977/09/05,,N,,C,20.0,B,False,True,True,False,True,False,3,Y
노정남,-,male,eighty,2022/02/17,re-take,Y,,C,,C,False,True,True,True,True,True,5,Y
강수진,?,female,88,,없음,N,88.0,A,,C,False,False,True,True,True,False,3,Y
김수빈,,m,ninety-five,2017-11-10,,N,,C,,C,False,True,True,True,False,False,3,Y
최재호,-,여,,1999-11-15,note: 재응시,Y,,C,,C,False,True,True,True,True,True,5,Y
,0x10,,0b1000100,,re-take,Y,68.0,B,16.0,B,True,False,True,False,True,True,4,Y
배주원,?,m,none,2015년 10월 07일,retake,Y,,C,,C,False,True,True,True,False,True,4,Y
김영일,,female,eighty,2005년 06월 21일,,N,,C,,C,False,True,True,True,True,False,4,Y
,seventeen,m,none,,,N,,C,17.0,B,True,True,True,False,False,False,3,Y
장서윤,-,F,,Mar/10/2016,,N,,C,,C,False,True,True,True,False,False,3,Y
김상호,-,m,ninety-five,,Retook,Y,,C,,C,False,True,True,True,False,True,4,Y
,22,m,90점,09-09-2005,note: 재응시,Y,90.0,A,22.0,A,True,False,True,False,False,True,3,Y
강병철,?,female,none,Jul/07/1982,,N,,C,,C,False,True,True,True,True,False,4,Y
박서현,twenty,F,0b1011100,,.,N,92.0,B,20.0,B,False,False,True,False,False,False,1,N
김지아,?,male,none,03.12.1973,,N,,C,,C,False,True,False,True,True,False,3,Y
김영자,20세,M,,25-01-2006,re-take,Y,,C,20.0,A,False,True,True,False,False,True,3,Y
성영진,?,F,0b110100,1987-05-09,re-take,Y,52.0,B,,C,False,False,True,True,False,True,3,Y
,0x17,M,ninety-five,,없음,N,,C,23.0,B,True,True,True,False,False,False,3,Y
송정남,12세,female,eighty,,Retook,Y,,C,12.0,A,False,True,True,False,True,True,4,Y
최현정,0x15,F,94점,1974-12-15,,N,94.0,A,21.0,B,False,False,True,False,False,False,1,N
강정희,10,남,,1992년 08월 28일,retake,Y,,C,10.0,A,False,True,True,False,True,True,4,Y
,-,여,ninety-five,,,N,,C,,C,True,True,True,True,True,False,5,Y
서예은,twenty,,,04-08-2002,,N,,C,20.0,B,False,True,True,False,True,False,3,Y
김재현,-,남,,,.,N,,C,,C,False,True,True,True,True,False,4,Y
박은정,seventeen,,0b1010000,1989/04/06,Retook,Y,80.0,B,17.0,B,False,False,True,False,True,True,3,Y
김성민,0x1e,남,55,,,N,55.0,A,30.0,B,False,False,True,False,True,False,2,Y
이영철,,female,eighty,2021년 10월 30일,,N,,C,,C,False,True,True,True,True,False,4,Y
김정수,,,eighty,1991-10-17,,N,,C,,C,False,True,True,True,True,False,4,Y
김영순,?,f,eighty,2008-04-12,re-take,Y,,C,,C,False,True,True,True,False,True,4,Y
이서영,?,m,none,30.12.2018,re-take,Y,,C,,C,False,True,False,True,False,True,3,Y
배영환,,여,0b111011,,,N,59.0,B,,C,False,False,True,True,True,False,3,Y
고지연,-,f,96점,2003/12/24,,N,96.0,A,,C,False,False,True,True,False,False,2,Y
,?,남,,2020년 04월 30일,note: 재응시,Y,,C,,C,True,True,True,True,True,True,6,Y
고현정,seventeen,남,,1993년 12월 19일,,N,,C,17.0,B,False,True,True,False,True,False,3,Y
,18세,f,,Mar/26/2003,,N,,C,18.0,A,True,True,True,False,False,False,3,Y
김서윤,11,f,none,30-12-1973,note: 재응시,Y,,C,11.0,A,False,True,True,False,False,True,3,Y
김성진,0x12,M,59점,Jan/24/1998,,N,59.0,A,18.0,B,False,False,True,False,False,False,1,N
,seventeen,,86점,14.02.2018,,N,86.0,A,17.0,B,True,False,False,False,True,False,2,Y
김우진,twenty,여,,Feb/11/1974,note: 재응시,Y,,C,20.0,B,False,True,True,False,True,True,4,Y
,,m,,,note: 재응시,Y,,C,,C,True,True,True,True,False,True,5,Y
,twenty,,86,1970년 10월 22일,Retook,Y,86.0,A,20.0,B,True,False,True,False,True,True,4,Y
김성훈,22세,f,eighty,1989년 07월 05일,.,N,,C,22.0,A,False,True,True,False,False,False,2,Y
이정훈,,f,none,03-05-2025,,N,,C,,C,False,True,True,True,False,False,3,Y
권준영,0x1b,M,ninety-five,,없음,N,,C,27.0,B,False,True,True,False,False,False,2,Y
김경수,seventeen,여,0b1010000,,Retook,Y,80.0,B,17.0,B,False,False,True,False,True,True,3,Y
엄순자,seventeen,여,0b1000111,03.01.1997,Retook,Y,71.0,B,17.0,B,False,False,False,False,True,False,1,N
황은지,-,male,67점,,,N,67.0,A,,C,False,False,True,True,True,False,3,Y
하서연,13,F,,2021년 09월 09일,,N,,C,13.0,A,False,True,True,False,False,False,2,Y
김민수,25세,,none,2007년 08월 12일,없음,N,,C,25.0,A,False,True,True,False,True,False,3,Y
최서윤,?,F,ninety-five,,없음,N,,C,,C,False,True,True,True,False,False,3,Y
황민지,-,,,May/18/2023,note: 재응시,Y,,C,,C,False,True,True,True,True,True,5,Y
,0x1d,남,98,,없음,N,98.0,A,29.0,B,True,False,True,False,True,False,3,Y
차미영,?,female,100점,11-05-2002,없음,N,100.0,A,,C,False,False,True,True,True,False,3,Y
,17세,female,none,15-12-2006,retake,Y,,C,17.0,A,True,True,True,False,True,True,5,Y
,-,여,58,05.02.1984,.,N,58.0,A,,C,True,False,False,True,True,False,3,Y
한재현,?,m,61,2018/07/02,re-take,Y,61.0,A,,C,False,False,True,True,False,True,3,Y
,12,F,65,Jan/27/2016,없음,N,65.0,A,12.0,A,True,False,True,False,False,False,2,Y
김현지,seventeen,male,0b111110,04.05.2020,,N,62.0,B,17.0,B,False,False,False,False,True,False,1,N
,seventeen,m,none,,re-take,Y,,C,17.0,B,True,True,True,False,False,True,4,Y
박성현,0x10,,90,,,N,90.0,A,16.0,B,False,False,True,False,True,False,2,Y
,twenty,female,,13.07.2010,retake,Y,,C,20.0,B,True,True,False,False,True,True,4,Y
,13,,,25-02-2013,note: 재응시,Y,,C,13.0,A,True,True,True,False,True,True,5,Y
이지민,21,f,0b111100,19-03-1994,note: 재응시,Y,60.0,B,21.0,A,False,False,True,False,False,True,2,Y
이지원,twenty,,0b110111,,없음,N,55.0,B,20.0,B,False,False,True,False,True,False,2,Y
박영희,?,f,eighty,2022-07-19,re-take,Y,,C,,C,False,True,True,True,False,True,4,Y
이지혜,?,,ninety-five,27-03-1988,Retook,Y,,C,,C,False,True,True,True,True,True,5,Y
김춘자,?,F,ninety-five,,Retook,Y,,C,,C,False,True,True,True,False,True,4,Y
박우진,-,female,,,retake,Y,,C,,C,False,True,True,True,True,True,5,Y
김준혁,?,female,51,11-05-1988,note: 재응시,Y,51.0,A,,C,False,False,True,True,True,True,4,Y
,twenty,m,eighty,2004년 11월 14일,re-take,Y,,C,20.0,B,True,True,True,False,False,True,4,Y
,,,0b1000000,,.,N,64.0,B,,C,True,False,True,True,True,False,4,Y
김진호,?,남,0b1011111,Jan/29/1992,retake,Y,95.0,B,,C,False,False,True,True,True,True,4,Y
오영식,,male,,Jan/09/2023,없음,N,,C,,C,False,True,True,True,True,False,4,Y
,seventeen,,0b1001111,2019-04-30,Retook,Y,79.0,B,17.0,B,True,False,True,False,True,True,4,Y
안동현,-,,none,,.,N,,C,,C,False,True,True,True,True,False,4,Y
한성수,-,F,,2003/07/23,,N,,C,,C,False,True,True,True,False,False,3,Y
박옥자,twenty,남,0b1010101,26-05-1990,,N,85.0,B,20.0,B,False,False,True,False,True,False,2,Y
,12세,female,,1994-07-29,retake,Y,,C,12.0,A,True,True,True,False,True,True,5,Y
,,F,,27.02.2001,없음,N,,C,,C,True,True,False,True,False,False,3,Y
김민석,11세,여,0b1011011,Mar/15/2012,note: 재응시,Y,91.0,B,11.0,A,False,False,True,False,True,True,3,Y
,23,male,ninety-five,,,N,,C,23.0,A,True,True,True,False,True,False,4,Y
,19세,F,,2010/06/13,note: 재응시,Y,,C,19.0,A,True,True,True,False,False,True,4,Y
박수빈,seventeen,남,93,,note: 재응시,Y,93.0,A,17.0,B,False,False,True,False,True,True,3,Y
김상현,21세,female,0b1000100,2003년 06월 01일,,N,68.0,B,21.0,A,False,False,True,False,True,False,2,Y
김영진,,남,76,Aug/04/1995,,N,76.0,A,,C,False,False,True,True,True,False,3,Y
우영철,twenty,,ninety-five,1983년 08월 07일,.,N,,C,20.0,B,False,True,True,False,True,False,3,Y
김채원,,f,ninety-five,2007년 06월 08일,,N,,C,,C,False,True,True,True,False,False,3,Y
,-,f,,Apr/07/1984,,N,,C,,C,True,True,True,True,False,False,4,Y
박병철,14세,,0b1010010,2024년 02월 07일,re-take,Y,82.0,B,14.0,A,False,False,True,False,True,True,3,Y
노영수,?,남,eighty,1997-11-04,retake,Y,,C,,C,False,True,True,True,True,True,5,Y
,0x1b,,eighty,,,N,,C,27.0,B,True,True,True,False,True,False,4,Y
김민서,twenty,f,,1995/08/28,,N,,C,20.0,B,False,True,True,False,False,False,2,Y
이혜진,0x12,f,,1998년 06월 19일,retake,Y,,C,18.0,B,False,True,True,False,False,True,3,Y
권예준,?,남,,20.06.1994,.,N,,C,,C,False,True,False,True,True,False,3,Y
김옥순,,m,none,06-06-2013,re-take,Y,,C,,C,False,True,True,True,False,True,4,Y
박준호,21세,,0b1001001,Apr/27/1981,retake,Y,73.0,B,21.0,A,False,False,True,False,True,True,3,Y
이은정,19,남,68점,2014년 01월 04일,.,N,68.0,A,19.0,A,False,False,True,False,True,False,2,Y
서현정,17,,53점,1977년 03월 18일,note: 재응시,Y,53.0,A,17.0,A,False,False,True,False,True,True,3,Y
김재호,twenty,남,62점,,.,N,62.0,A,20.0,B,False,False,True,False,True,False,2,Y
,19세,m,0b1010011,,retake,Y,83.0,B,19.0,A,True,False,True,False,False,True,3,Y
,twenty,male,eighty,1995/06/17,,N,,C,20.0,B,True,True,True,False,True,False,4,Y
김정식,,남,,,retake,Y,,C,,C,False,True,True,True,True,True,5,Y
박정순,21,남,eighty,Nov/04/1975,Retook,Y,,C,21.0,A,False,True,True,False,True,True,4,Y
안은정,10세,female,,,,N,,C,10.0,A,False,True,True,False,True,False,3,Y
심영자,-,m,90,18-06-2005,.,N,90.0,A,,C,False,False,True,True,False,False,2,Y
윤하은,19,,ninety-five,18-02-2019,없음,N,,C,19.0,A,False,True,True,False,True,False,3,Y
김민지,,M,eighty,1977년 10월 31일,Retook,Y,,C,,C,False,True,True,True,False,True,4,Y
권영호,seventeen,female,100점,,retake,Y,100.0,A,17.0,B,False,False,True,False,True,True,3,Y
,-,M,none,,.,N,,C,,C,True,True,True,True,False,False,4,Y
노예진,,m,none,1992/07/10,,N,,C,,C,False,True,True,True,False,False,3,Y
,,남,ninety-five,1997/07/25,note: 재응시,Y,,C,,C,True,True,True,True,True,True,6,Y
이상훈,twenty,여,,02-12-1996,,N,,C,20.0,B,False,True,True,False,True,False,3,Y
,0x14,f,98,1970년 04월 21일,,N,98.0,A,20.0,B,True,False,True,False,False,False,2,Y
하혜진,15세,,ninety-five,10.12.1988,Retook,Y,,C,15.0,A,False,True,False,False,True,True,3,Y
,?,,0b1001000,2024년 05월 28일,없음,N,72.0,B,,C,True,False,True,True,True,False,4,Y
박은지,?,m,,2001년 02월 19일,,N,,C,,C,False,True,True,True,False,False,3,Y
김은서,0x1e,f,69점,Nov/29/2005,,N,69.0,A,30.0,B,False,False,True,False,False,False,1,N
,,m,,Sep/17/1996,Retook,Y,,C,,C,True,True,True,True,False,True,5,Y
이정남,?,f,,,re-take,Y,,C,,C,False,True,True,True,False,True,4,Y
이정자,0x1b,m,eighty,Mar/30/1990,note: 재응시,Y,,C,27.0,B,False,True,True,False,False,True,3,Y
노준서,?,m,ninety-five,,,N,,C,,C,False,True,True,True,False,False,3,Y
박숙자,,남,ninety-five,2017년 03월 10일,,N,,C,,C,False,True,True,True,True,False,4,Y
주승민,?,F,ninety-five,,,N,,C,,C,False,True,True,True,False,False,3,Y
,,,,,retake,Y,,C,,C,True,True,True,True,True,True,6,Y
이서연,?,M,60,29-11-2013,retake,Y,60.0,A,,C,False,False,True,True,False,True,3,Y
권재현,,여,,20-07-1979,note: 재응시,Y,,C,,C,False,True,True,True,True,True,5,Y
김유진,,male,89,2012-02-25,,N,89.0,A,,C,False,False,True,True,True,False,3,Y
이정자,,M,92,16-02-1996,.,N,92.0,A,,C,False,False,True,True,False,False,2,Y
,0x19,male,none,18.06.2003,없음,N,,C,25.0,B,True,True,False,False,True,False,3,Y
,twenty,여,,Jun/23/2008,,N,,C,20.0,B,True,True,True,False,True,False,4,Y
,twenty,,eighty,2021/10/16,,N,,C,20.0,B,True,True,True,False,True,False,4,Y
박미영,,male,63,12.06.1981,re-take,Y,63.0,A,,C,False,False,False,True,True,False,2,Y
,,남,76점,28-07-2022,retake,Y,76.0,A,,C,True,False,True,True,True,True,5,Y
이지현,0x1b,m,eighty,,없음,N,,C,27.0,B,False,True,True,False,False,False,2,Y
김유진,?,,56점,1994/12/19,없음,N,56.0,A,,C,False,False,True,True,True,False,3,Y
,twenty,m,57점,2000/01/14,없음,N,57.0,A,20.0,B,True,False,True,False,False,False,2,Y
,,,ninety-five,2014/06/26,.,N,,C,,C,True,True,True,True,True,False,5,Y
이현숙,-,,ninety-five,,note: 재응시,Y,,C,,C,False,True,True,True,True,True,5,Y
류수빈,twenty,F,0b1001100,2022-10-13,,N,76.0,B,20.0,B,False,False,True,False,False,False,1,N
최현준,,,,2010-01-03,.,N,,C,,C,False,True,True,True,True,False,4,Y
김영철,?,F,,,retake,Y,,C,,C,False,True,True,True,False,True,4,Y
최영철,?,male,50점,1984/01/31,.,N,50.0,A,,C,False,False,True,True,True,False,3,Y
이병철,?,,,1989/02/16,,N,,C,,C,False,True,True,True,True,False,4,Y
최서현,twenty,female,,Mar/11/1988,retake,Y,,C,20.0,B,False,True,True,False,True,True,4,Y
김지아,16,,96점,24-06-1976,,N,96.0,A,16.0,A,False,False,True,False,True,False,2,Y
송영숙,,M,,1974/01/13,.,N,,C,,C,False,True,True,True,False,False,3,Y
류현지,twenty,m,68,,note: 재응시,Y,68.0,A,20.0,B,False,False,True,False,False,True,2,Y
김영일,-,,0b110100,Sep/04/1979,re-take,Y,52.0,B,,C,False,False,True,True,True,True,4,Y
문채원,,여,none,10.03.1998,없음,N,,C,,C,False,True,False,True,True,False,3,Y
박영길,-,f,97,28.04.2022,,N,97.0,A,,C,False,False,False,True,False,False,1,N
이은지,17세,F,eighty,Feb/12/1995,re-take,Y,,C,17.0,A,False,True,True,False,False,True,3,Y
박현우,,여,0b1001110,,Retook,Y,78.0,B,,C,False,False,True,True,True,True,4,Y
한재호,twenty,male,,13-03-2001,,N,,C,20.0,B,False,True,True,False,True,False,3,Y
고지혜,twenty,M,none,23-02-2024,,N,,C,20.0,B,False,True,True,False,False,False,2,Y
,24세,m,,01-09-2003,note: 재응시,Y,,C,24.0,A,True,True,True,False,False,True,4,Y
,twenty,male,91점,1992-12-25,,N,91.0,A,20.0,B,True,False,True,False,True,False,3,Y
강지훈,seventeen,female,58,2023-08-24,note: 재응시,Y,58.0,A,17.0,B,False,False,True,False,True,True,3,Y
신영희,seventeen,F,,1978년 06월 15일,re-take,Y,,C,17.0,B,False,True,True,False,False,True,3,Y
강준호,24세,m,eighty,1983년 10월 08일,,N,,C,24.0,A,False,True,True,False,False,False,2,Y
